date,close,volume,open,high,low
2001-08-27,-284.45,406318.0,-284.65,-284.0,-284.98
2001-08-28,-284.18,129647.0,-284.56,-284.16,-284.63
2001-08-29,-284.28,53252.0,-284.16,-284.16,-284.34
2001-08-30,-284.14,48013.0,-284.3,-284.06,-284.36
2001-08-31,-284.15,23231.0,-284.13,-284.03,-284.2
2001-09-03,-284.16,22112.0,-284.12,-284.04,-284.19
2001-09-04,-284.07,37006.0,-284.15,-283.94,-284.18
2001-09-05,-284.07,26066.0,-284.04,-283.97,-284.11
2001-09-06,-284.22,28997.0,-284.09,-284.06,-284.25
2001-09-07,-284.42,31552.0,-284.26,-284.17,-284.43
2001-09-10,-284.22,18878.0,-284.47,-284.19,-284.55
2001-09-11,-284.3,11390.0,-284.2,-284.17,-284.32
2001-09-12,-284.36,25045.0,-284.49,-284.32,-284.49
2001-09-13,-284.38,10986.0,-284.35,-284.3,-284.42
2001-09-14,-284.3,7672.0,-284.35,-284.26,-284.4
2001-09-17,-284.39,8983.0,-284.34,-284.3,-284.46
2001-09-18,-284.31,10773.0,-284.38,-284.25,-284.39
2001-09-19,-284.17,8650.0,-284.3,-284.17,-284.34
2001-09-20,-284.23,11173.0,-284.18,-284.15,-284.26
2001-09-21,-284.34,7879.0,-284.3,-284.24,-284.36
2001-09-24,-284.35,4068.0,-284.34,-284.28,-284.36
2001-09-25,-284.31,3488.0,-284.3,-284.25,-284.35
2001-09-26,-284.34,4956.0,-284.33,-284.26,-284.36
2001-09-27,-284.22,8778.0,-284.34,-284.16,-284.36
2001-09-28,-284.14,17088.0,-284.18,-284.12,-284.26
2001-10-08,-284.24,6552.0,-284.16,-284.12,-284.31
2001-10-09,-284.1,9558.0,-284.24,-284.06,-284.24
2001-10-10,-284.34,17548.0,-284.1,-284.07,-284.35
2001-10-11,-284.41,12306.0,-284.35,-284.26,-284.43
2001-10-12,-284.36,20010.0,-284.38,-284.23,-284.74
2001-10-15,-284.49,9755.0,-284.38,-284.36,-284.57
2001-10-16,-284.59,8319.0,-284.53,-284.4,-284.6
2001-10-17,-284.71,12507.0,-284.6,-284.59,-284.77
2001-10-18,-284.75,4983.0,-284.71,-284.62,-284.77
2001-10-19,-284.85,15687.0,-284.75,-284.72,-284.95
2001-10-22,-284.99,9760.0,-284.89,-284.81,-285.01
2001-10-23,-284.34,40598.0,-284.36,-284.34,-284.55
2001-10-24,-284.38,40682.0,-284.2,-284.2,-284.53
2001-10-25,-284.58,16036.0,-284.42,-284.4,-284.58
2001-10-26,-284.55,9002.0,-284.61,-284.53,-284.67
2001-10-29,-284.49,4587.0,-284.58,-284.43,-284.58
2001-10-30,-284.55,3484.0,-284.5,-284.46,-284.57
2001-10-31,-284.54,4762.0,-284.55,-284.54,-284.59
2001-11-01,-284.44,6643.0,-284.54,-284.43,-284.56
2001-11-02,-284.48,3435.0,-284.5,-284.41,-284.52
2001-11-05,-284.57,3690.0,-284.55,-284.5,-284.61
2001-11-06,-284.52,2609.0,-284.59,-284.49,-284.61
2001-11-07,-284.78,9325.0,-284.55,-284.55,-284.79
2001-11-08,-284.81,7402.0,-284.88,-284.78,-284.96
2001-11-09,-284.72,3760.0,-284.81,-284.66,-284.88
2001-11-12,-284.83,2683.0,-284.67,-284.67,-284.85
2001-11-13,-284.83,2673.0,-284.9,-284.81,-284.91
2001-11-14,-284.82,769.0,-284.83,-284.75,-284.83
2001-11-15,-284.82,2193.0,-284.82,-284.79,-284.85
2001-11-16,-284.74,9954.0,-284.32,-284.32,-284.76
2001-11-19,-284.54,9955.0,-284.72,-284.54,-284.73
2001-11-20,-284.48,3735.0,-284.51,-284.45,-284.57
2001-11-21,-284.52,5114.0,-284.46,-284.46,-284.57
2001-11-22,-284.53,4198.0,-284.51,-284.49,-284.57
2001-11-23,-284.56,3960.0,-284.55,-284.5,-284.6
2001-11-26,-284.63,3100.0,-284.55,-284.55,-284.65
2001-11-27,-284.55,2569.0,-284.64,-284.54,-284.64
2001-11-28,-284.54,3773.0,-284.54,-284.48,-284.57
2001-11-29,-284.59,3046.0,-284.55,-284.51,-284.59
2001-11-30,-284.49,4070.0,-284.59,-284.47,-284.59
2001-12-03,-284.32,16037.0,-284.48,-284.3,-284.49
2001-12-04,-284.31,6894.0,-284.31,-284.3,-284.39
2001-12-05,-284.36,15028.0,-284.16,-284.16,-284.36
2001-12-06,-284.34,6372.0,-284.38,-284.3,-284.4
2001-12-07,-284.38,3908.0,-284.34,-284.32,-284.4
2001-12-10,-284.36,4162.0,-284.36,-284.34,-284.41
